Actual Item ID,Actual Item Number,Estimated Item ID,Estimated Item Number,Actual Frequency,Estimated Freqency,Estimated Top k frequency,RE,REL,DCG,IDCG,Type,Start Time,Candidate Set,Fall In Candidate Percent
k:,30,Number:,0
500,49380,517,82700,0.9876,1.512,1.654,0.5309842041312272,999,999,1000,part1,2018-06-03 22:18:06.931000,[517],None
497,48120,500,75600,0.9624,1.06,1.512,0.10141313383208647,985,1984.0,2000.0,part1,2018-06-03 22:18:06.931000,"[500, 517]",None
499,47640,490,74300,0.9528,0.308,1.486,0.6767422334172964,752,2458.459174685736,2630.9297535714572,part1,2018-06-03 22:18:06.931000,"[490, 500, 517]",None
501,46920,507,72700,0.9384,0.886,1.4540000000000002,0.05583972719522592,968,2942.459174685736,3130.9297535714572,part1,2018-06-03 22:18:06.931000,"[490, 507, 500, 517]",None
503,46380,503,71900,0.9276,1.438,1.438,0.5502371711944803,1000,3373.135732759129,3561.6063116448504,part1,2018-06-03 22:18:06.931000,"[490, 507, 500, 517, 503]",None
495,44820,486,65100,0.8964,0.744,1.302,0.17001338688085674,950,3740.6458996319434,3948.459118879392,part1,2018-06-03 22:18:06.931000,"[517, 486, 490, 500, 503, 507]",None
502,44040,412,61700,0.8808,1.164,1.234,0.32152588555858297,996,4095.4282579915334,4304.6663059874145,part1,2018-06-03 22:18:06.931000,"[517, 486, 490, 500, 503, 507, 412]",None
498,43320,764,60100,0.8664,0.424,1.202,0.5106186518928901,841,4375.7615913248665,4637.9996393207475,part1,2018-06-03 22:18:06.931000,"[517, 486, 764, 490, 500, 503, 507, 412]",None
496,42960,565,59600,0.8592,0.055999999999999994,1.192,0.9348230912476722,557,4551.475527694517,4953.464516106476,part1,2018-06-03 22:18:06.931000,"[517, 486, 764, 490, 500, 565, 503, 507, 412]",None
504,42420,493,59000,0.8484,0.214,1.18,0.7477604903347478,700,4762.196524659304,5254.494511770457,part1,2018-06-03 22:18:06.931000,"[517, 486, 764, 490, 493, 500, 565, 503, 507, 412]",None
