Actual Item ID,Actual Item Number,Estimated Item ID,Estimated Item Number,Actual Frequency,Estimated Freqency,Estimated Top k frequency,RE,REL,DCG,IDCG,Type,Start Time,Candidate Set,Fall In Candidate Percent
k:,30,Number:,0
500,49380,512,86550,0.9876,1.307,1.7309999999999999,0.323410287565816,994,994,1000,part1,2018-06-04 01:52:31.117000,[512],None
497,48120,368,82850,0.9624,1.172,1.657,0.21778886118038226,986,1980.0,2000.0,part1,2018-06-04 01:52:31.117000,"[512, 368]",None
499,47640,493,81750,0.9528,1.22,1.635,0.2804366078925273,990,2604.620456035743,2630.9297535714572,part1,2018-06-04 01:52:31.117000,"[512, 368, 493]",None
501,46920,779,71600,0.9384,0.757,1.432,0.19330775788576302,931,3070.120456035743,3130.9297535714572,part1,2018-06-04 01:52:31.117000,"[512, 368, 779, 493]",None
503,46380,484,67700,0.9276,0.657,1.354,0.2917205692108667,907,3460.7440942083103,3561.6063116448504,part1,2018-06-04 01:52:31.117000,"[512, 368, 779, 484, 493]",None
495,44820,507,66600,0.8964,0.843,1.332,0.05957161981258367,960,3832.1227891534704,3948.459118879392,part1,2018-06-04 01:52:31.117000,"[512, 484, 779, 493, 368, 507]",None
502,44040,500,65350,0.8808,0.592,1.307,0.32788374205267945,881,4145.941320995638,4304.6663059874145,part1,2018-06-04 01:52:31.117000,"[512, 484, 779, 493, 368, 500, 507]",None
498,43320,508,65350,0.8664,1.276,1.307,0.4727608494921515,997,4478.274654328971,4637.9996393207475,part1,2018-06-04 01:52:31.117000,"[512, 484, 779, 493, 368, 500, 507, 508]",None
496,42960,993,64900,0.8592,0.523,1.298,0.3912942271880819,844,4744.527010336126,4953.464516106476,part1,2018-06-04 01:52:31.117000,"[512, 993, 484, 779, 493, 368, 500, 507, 508]",None
504,42420,514,64050,0.8484,1.151,1.281,0.3566713814238566,992,5043.148766034796,5254.494511770457,part1,2018-06-04 01:52:31.117000,"[512, 993, 514, 484, 779, 493, 368, 500, 507, 508]",None
493,42360,498,63800,0.8472,1.635,1.276,0.929886685552408,992,5329.90107374214,5543.559338088346,part1,2018-06-04 01:52:31.117000,"[512, 993, 514, 484, 779, 493, 368, 498, 500, 507, 508]",None
505,41340,136,62100,0.8268,0.9560000000000001,1.242,0.15626511852926958,977,5602.428331643294,5822.502283739475,part1,2018-06-04 01:52:31.117000,"[512, 993, 514, 484, 136, 779, 493, 368, 498, 500, 507, 508]",None
492,40260,499,61000,0.8052,0.8089999999999999,1.22,0.004719324391455433,956,5860.776007275812,6092.740438166795,part1,2018-06-04 01:52:31.117000,"[512, 993, 514, 484, 136, 779, 493, 368, 498, 499, 500, 507, 508]",None
494,39960,510,59500,0.7992,1.004,1.1900000000000002,0.25625625625625625,987,6120.011098357522,6355.389973203988,part1,2018-06-04 01:52:31.117000,"[512, 993, 514, 484, 136, 779, 493, 368, 498, 499, 500, 507, 508, 510]",None
507,39000,485,58850,0.78,1.332,1.1769999999999998,0.7076923076923077,991,6373.665500944049,6611.347998013804,part1,2018-06-04 01:52:31.117000,"[512, 993, 514, 484, 485, 136, 779, 493, 368, 498, 499, 500, 507, 508, 510]",None
506,38700,497,58600,0.774,1.0170000000000001,1.172,0.31395348837209314,991,6621.415500944049,6861.347998013804,part1,2018-06-04 01:52:31.117000,"[512, 993, 514, 484, 485, 136, 779, 493, 368, 497, 498, 499, 500, 507, 508, 510]",None
491,38580,844,57950,0.7716,1.103,1.159,0.42949714878175227,995,6864.842790351684,7105.99854013203,part1,2018-06-04 01:52:31.117000,"[512, 993, 514, 484, 485, 136, 779, 844, 493, 368, 497, 498, 499, 500, 507, 508, 510]",None
508,38040,504,57550,0.7608,1.307,1.151,0.7179284963196634,990,7102.257132254134,7345.811006700162,part1,2018-06-04 01:52:31.117000,"[512, 993, 514, 484, 485, 136, 779, 844, 493, 368, 497, 498, 499, 500, 504, 507, 508, 510]",None
490,37620,177,55800,0.7524,-0.432,1.1159999999999999,1.5741626794258372,197,7148.632688187362,7581.2199200668,part1,2018-06-04 01:52:31.117000,"[512, 993, 514, 484, 485, 177, 136, 779, 844, 493, 368, 497, 498, 499, 500, 504, 507, 508, 510]",None
510,36660,83,55600,0.7332,1.1900000000000002,1.1119999999999999,0.6230223677032191,994,7378.622632068163,7812.598133226559,part1,2018-06-04 01:52:31.117000,"[512, 993, 514, 484, 485, 177, 136, 779, 844, 493, 368, 497, 498, 499, 500, 504, 83, 507, 508, 510]",None
489,36360,466,55350,0.7272,0.363,1.107,0.5008250825082509,762,7552.107361575241,8040.268381923512,part1,2018-06-04 01:52:31.117000,"[512, 993, 514, 484, 485, 177, 136, 779, 844, 493, 368, 497, 498, 499, 500, 466, 504, 83, 507, 508, 510]",None
509,35220,491,55150,0.7044,0.9129999999999999,1.103,0.2961385576377057,982,7772.3147969569,8264.512206141088,part1,2018-06-04 01:52:31.117000,"[512, 514, 136, 779, 177, 844, 466, 83, 993, 484, 485, 491, 493, 368, 497, 498, 499, 500, 504, 507, 508, 510]",None
511,34860,513,54500,0.6972,0.657,1.09,0.05765920826161792,924,7976.578606975633,8485.57693559859,part1,2018-06-04 01:52:31.117000,"[512, 513, 514, 136, 779, 177, 844, 466, 83, 993, 484, 485, 491, 493, 368, 497, 498, 499, 500, 504, 507, 508, 510]",None
488,34320,295,51050,0.6864,0.333,1.0210000000000001,0.5148601398601398,742,8138.411991628897,8703.681227584122,part1,2018-06-04 01:52:31.117000,"[512, 513, 514, 136, 779, 295, 177, 844, 466, 83, 993, 484, 485, 491, 493, 368, 497, 498, 499, 500, 504, 507, 508, 510]",None
487,33180,506,50850,0.6636,0.748,1.0170000000000001,0.1271850512356842,950,8342.98335671376,8919.019506620818,part1,2018-06-04 01:52:31.117000,"[512, 513, 514, 136, 779, 295, 177, 844, 466, 83, 993, 484, 485, 491, 493, 368, 497, 498, 499, 500, 504, 506, 507, 508, 510]",None
513,31980,209,50600,0.6396,1.09,1.012,0.7041901188242654,997,8555.091172106462,9131.76556017418,part1,2018-06-04 01:52:31.117000,"[512, 513, 514, 136, 779, 295, 177, 844, 209, 466, 83, 993, 484, 485, 491, 493, 368, 497, 498, 499, 500, 504, 506, 507, 508, 510]",None
515,31620,494,50200,0.6324,0.8089999999999999,1.004,0.2792536369386464,969,8758.881482510043,9342.075478031333,part1,2018-06-04 01:52:31.117000,"[512, 513, 514, 136, 779, 295, 177, 844, 209, 466, 83, 993, 484, 485, 491, 493, 494, 368, 497, 498, 499, 500, 504, 506, 507, 508, 510]",None
