Dataset,User Number,Itemset Size,Dummy Item Proportion,k,Candidate Set Size,Privacy_Parameter,User Itemset Size,RE1,RE2,NDCG1,NDCG2,Start Time,Finishe Time
Random_Itemset_different_privacy_003_5e5_true_5_backup,500000,1000,10.060128,1,2,4,50,0.15612133024728955,0.47593921305883785,0.99199999999999999,0.99199999999999999,2018-05-26 14:17:38.782270,2018-05-26 14:18:28.731195
Random_Itemset_different_privacy_003_5e5_true_5_backup,500000,1000,10.060128,2,4,4,50,0.088863970637147252,0.54437917558527227,0.99529999999999996,0.99529999999999996,2018-05-26 14:17:38.782270,2018-05-26 14:19:03.989116
Random_Itemset_different_privacy_003_5e5_true_5_backup,500000,1000,10.060128,3,6,4,50,0.11060606184479882,0.44449294071574741,0.99373393436329904,0.99395384059658287,2018-05-26 14:17:38.782270,2018-05-26 14:19:44.545548
Random_Itemset_different_privacy_003_5e5_true_5_backup,500000,1000,10.060128,4,8,4,50,0.10684615562421965,0.29190285600203236,0.99451596969716216,0.99533763635325267,2018-05-26 14:17:38.782270,2018-05-26 14:20:27.812471
Random_Itemset_different_privacy_003_5e5_true_5_backup,500000,1000,10.060128,5,10,4,50,0.12712030348396533,0.12078720255467086,0.99498958605149179,0.99617713159064325,2018-05-26 14:17:38.782270,2018-05-26 14:21:10.044336
Random_Itemset_different_privacy_003_5e5_true_5_backup,500000,1000,10.060128,6,12,4,50,0.10373955641668353,0.13094397788586715,0.99401453913030324,0.99537830930849436,2018-05-26 14:17:38.782270,2018-05-26 14:21:52.532921
Random_Itemset_different_privacy_003_5e5_true_5_backup,500000,1000,10.060128,7,14,4,50,0.090758214100701645,0.054956688601363123,0.99515989342473288,0.99701041738192198,2018-05-26 14:17:38.782270,2018-05-26 14:22:36.743277
Random_Itemset_different_privacy_003_5e5_true_5_backup,500000,1000,10.060128,8,16,4,50,0.13175742938878893,0.064296520053525402,0.9938354874099723,0.99614876656536122,2018-05-26 14:17:38.782270,2018-05-26 14:23:18.935763
Random_Itemset_different_privacy_003_5e5_true_5_backup,500000,1000,10.060128,9,18,4,50,0.13899095555102509,0.064318491021429725,0.99412240798126561,0.99644257272781311,2018-05-26 14:17:38.782270,2018-05-26 14:24:01.640056
Random_Itemset_different_privacy_003_5e5_true_5_backup,500000,1000,10.060128,10,20,4,50,0.12468147841326971,0.069504301891372106,0.99412444879289785,0.99662734250772367,2018-05-26 14:17:38.782270,2018-05-26 14:24:45.717389
Random_Itemset_different_privacy_003_5e5_true_5_backup,500000,1000,10.060128,11,22,4,50,0.13511454139817874,0.077395240824590622,0.99299745872948919,0.99501292889938353,2018-05-26 14:17:38.782270,2018-05-26 14:25:30.366276
Random_Itemset_different_privacy_003_5e5_true_5_backup,500000,1000,10.060128,12,24,4,50,0.11124303101350082,0.079758054201901143,0.99379407539246267,0.99622637436521821,2018-05-26 14:17:38.782270,2018-05-26 14:26:12.723983
Random_Itemset_different_privacy_003_5e5_true_5_backup,500000,1000,10.060128,13,26,4,50,0.11321295885188851,0.084488270066781362,0.99358113040200036,0.99571731549451692,2018-05-26 14:17:38.782270,2018-05-26 14:26:56.961764
Random_Itemset_different_privacy_003_5e5_true_5_backup,500000,1000,10.060128,14,28,4,50,0.13220224105563361,0.087142141864007414,0.99368535003895975,0.99551171624207557,2018-05-26 14:17:38.782270,2018-05-26 14:27:38.977579
Random_Itemset_different_privacy_003_5e5_true_5_backup,500000,1000,10.060128,15,30,4,50,0.14038062301315846,0.10243890650717571,0.99256894700100529,0.99465551965964338,2018-05-26 14:17:38.782270,2018-05-26 14:28:23.958957
Random_Itemset_different_privacy_003_5e5_true_5_backup,500000,1000,10.060128,16,32,4,50,0.14025740974024709,0.102138843007479,0.99321023923531371,0.99490915244998102,2018-05-26 14:17:38.782270,2018-05-26 14:29:06.801448
Random_Itemset_different_privacy_003_5e5_true_5_backup,500000,1000,10.060128,17,34,4,50,0.13381581558018993,0.12175878955967585,0.99283572099436979,0.99495315940554752,2018-05-26 14:17:38.782270,2018-05-26 14:29:51.019318
Random_Itemset_different_privacy_003_5e5_true_5_backup,500000,1000,10.060128,18,36,4,50,0.15475052665504266,0.13156192097404137,0.99210801027635132,0.99471333304566001,2018-05-26 14:17:38.782270,2018-05-26 14:30:37.117340
Random_Itemset_different_privacy_003_5e5_true_5_backup,500000,1000,10.060128,19,38,4,50,0.12968599159454069,0.11734882197757124,0.99272289366794497,0.99426101881349871,2018-05-26 14:17:38.782270,2018-05-26 14:31:24.901849
Random_Itemset_different_privacy_003_5e5_true_5_backup,500000,1000,10.060128,20,40,4,50,0.14534692368598534,0.13257946474117827,0.99272607479328356,0.99461394476005083,2018-05-26 14:17:38.782270,2018-05-26 14:32:13.601517
Random_Itemset_different_privacy_003_5e5_true_5_backup,500000,1000,10.060128,21,42,4,50,0.15429567551073992,0.13479965779135877,0.99264583696095643,0.99472981939820038,2018-05-26 14:17:38.782270,2018-05-26 14:33:05.168127
Random_Itemset_different_privacy_003_5e5_true_5_backup,500000,1000,10.060128,22,44,4,50,0.13265140609761522,0.15162359187883526,0.99263075003289747,0.99397742257484489,2018-05-26 14:17:38.782270,2018-05-26 14:33:56.597692
Random_Itemset_different_privacy_003_5e5_true_5_backup,500000,1000,10.060128,23,46,4,50,0.17953941233434648,0.17399513186619123,0.99160259221526914,0.99285043432936537,2018-05-26 14:17:38.782270,2018-05-26 14:34:47.835734
Random_Itemset_different_privacy_003_5e5_true_5_backup,500000,1000,10.060128,24,48,4,50,0.17433649777362442,0.15680917451077597,0.99189699429481171,0.99322887573921437,2018-05-26 14:17:38.782270,2018-05-26 14:35:38.340717
Random_Itemset_different_privacy_003_5e5_true_5_backup,500000,1000,10.060128,25,50,4,50,0.19057170675926505,0.17308387437171469,0.99168719165944608,0.99353052178021151,2018-05-26 14:17:38.782270,2018-05-26 14:36:29.881367
Random_Itemset_different_privacy_003_5e5_true_5_backup,500000,1000,10.060128,26,52,4,50,0.16446214102448339,0.1780012076081699,0.99213642533991275,0.99195678392075803,2018-05-26 14:17:38.782270,2018-05-26 14:37:19.864656
Random_Itemset_different_privacy_003_5e5_true_5_backup,500000,1000,10.060128,27,54,4,50,0.15922364396899175,0.1825340205344482,0.99169942368506425,0.99256185558441656,2018-05-26 14:17:38.782270,2018-05-26 14:38:09.722928
Random_Itemset_different_privacy_003_5e5_true_5_backup,500000,1000,10.060128,28,56,4,50,0.17539595517246967,0.1685823568635631,0.990649076589038,0.99207339360660851,2018-05-26 14:17:38.782270,2018-05-26 14:38:59.547502
Random_Itemset_different_privacy_003_5e5_true_5_backup,500000,1000,10.060128,29,58,4,50,0.18261223344803837,0.19497515010599603,0.99140385497240224,0.99154133479875317,2018-05-26 14:17:38.782270,2018-05-26 14:39:47.053109
Random_Itemset_different_privacy_003_5e5_true_5_backup,500000,1000,10.060128,30,60,4,50,0.18059429887797412,0.17990055535766555,0.9912182691797039,0.99181954955503859,2018-05-26 14:17:38.782270,2018-05-26 14:40:35.853496
Random_Itemset_different_privacy_003_5e5_true_5_backup,500000,1000,10.060128,31,62,4,50,0.19614238515181204,0.18536472393797132,0.99132742926493145,0.99155219395106253,2018-05-26 14:17:38.782270,2018-05-26 14:41:24.062774
Random_Itemset_different_privacy_003_5e5_true_5_backup,500000,1000,10.060128,32,64,4,50,0.19195515384500456,0.20209222481133554,0.99067386330668405,0.99208495096268068,2018-05-26 14:17:38.782270,2018-05-26 14:42:10.039963
Random_Itemset_different_privacy_003_5e5_true_5_backup,500000,1000,10.060128,33,66,4,50,0.19199404718347751,0.22354978232036463,0.99101362555509398,0.99184401501614095,2018-05-26 14:17:38.782270,2018-05-26 14:42:54.048642
Random_Itemset_different_privacy_003_5e5_true_5_backup,500000,1000,10.060128,34,68,4,50,0.22313069016685247,0.20577171534625069,0.99053933206468037,0.99125512629373314,2018-05-26 14:17:38.782270,2018-05-26 14:43:36.515187
Random_Itemset_different_privacy_003_5e5_true_5_backup,500000,1000,10.060128,35,70,4,50,0.21226159375622392,0.2153780763593563,0.99041798205322829,0.99130944040698366,2018-05-26 14:17:38.782270,2018-05-26 14:44:20.400497
Random_Itemset_different_privacy_003_5e5_true_5_backup,500000,1000,10.060128,36,72,4,50,0.22989888725746033,0.22754213408653484,0.9904013802736007,0.99123510136977688,2018-05-26 14:17:38.782270,2018-05-26 14:45:07.173561
