Dataset,User Number,Itemset Size,Dummy Item Proportion,k,Candidate Set Size,Privacy_Parameter,User Itemset Size,RE1,RE2,NDCG1,NDCG2,Start Time,Finishe Time
Random_Itemset_different_privacy_003_5e5_true_5,500000,1000,10.060128,1,2,4,50,0.11281215738823247,0.37035022536240708,0.99499999999999988,0.99499999999999988,2018-05-26 14:18:50.622757,2018-05-26 14:20:25.013464
Random_Itemset_different_privacy_003_5e5_true_5,500000,1000,10.060128,2,4,4,50,0.1304161209095718,0.36857987232349859,0.99469999999999992,0.99490000000000001,2018-05-26 14:18:50.622757,2018-05-26 14:21:40.954595
Random_Itemset_different_privacy_003_5e5_true_5,500000,1000,10.060128,3,6,4,50,0.11039510348580198,0.2681792925184448,0.99388142802303303,0.99433346552971946,2018-05-26 14:18:50.622757,2018-05-26 14:22:55.917395
Random_Itemset_different_privacy_003_5e5_true_5,500000,1000,10.060128,4,8,4,50,0.1134778921645174,0.33669824612226007,0.99386842421434962,0.99485587876326531,2018-05-26 14:18:50.622757,2018-05-26 14:24:12.248725
Random_Itemset_different_privacy_003_5e5_true_5,500000,1000,10.060128,5,10,4,50,0.11031721395157709,0.12872034654628495,0.99388321417774339,0.99493659471951834,2018-05-26 14:18:50.622757,2018-05-26 14:25:27.084010
Random_Itemset_different_privacy_003_5e5_true_5,500000,1000,10.060128,6,12,4,50,0.10361754097600691,0.085531967281400403,0.99428186954248066,0.99544976227422255,2018-05-26 14:18:50.622757,2018-05-26 14:26:42.946219
Random_Itemset_different_privacy_003_5e5_true_5,500000,1000,10.060128,7,14,4,50,0.090789587908138278,0.044901704492928594,0.99467819394508972,0.99631900303589949,2018-05-26 14:18:50.622757,2018-05-26 14:28:00.641136
Random_Itemset_different_privacy_003_5e5_true_5,500000,1000,10.060128,8,16,4,50,0.11467336995265034,0.055253324587161236,0.99526556648483966,0.99696343850113744,2018-05-26 14:18:50.622757,2018-05-26 14:29:17.088626
Random_Itemset_different_privacy_003_5e5_true_5,500000,1000,10.060128,9,18,4,50,0.094576182511196261,0.058694416325864328,0.99459825355286424,0.99601644427770886,2018-05-26 14:18:50.622757,2018-05-26 14:30:38.283939
Random_Itemset_different_privacy_003_5e5_true_5,500000,1000,10.060128,10,20,4,50,0.10541522299480632,0.073449499607241425,0.99425026451555587,0.99662456559647428,2018-05-26 14:18:50.622757,2018-05-26 14:32:02.273969
Random_Itemset_different_privacy_003_5e5_true_5,500000,1000,10.060128,11,22,4,50,0.11552276705880486,0.063104059802423729,0.99341118565327036,0.99625102041904923,2018-05-26 14:18:50.622757,2018-05-26 14:33:24.413080
Random_Itemset_different_privacy_003_5e5_true_5,500000,1000,10.060128,12,24,4,50,0.07823504191243344,0.066499860872361247,0.99458689686852986,0.99674122631808648,2018-05-26 14:18:50.622757,2018-05-26 14:34:46.615894
Random_Itemset_different_privacy_003_5e5_true_5,500000,1000,10.060128,13,26,4,50,0.10415763343272592,0.071941416900869609,0.99392831587376729,0.996713166416338,2018-05-26 14:18:50.622757,2018-05-26 14:36:09.243180
Random_Itemset_different_privacy_003_5e5_true_5,500000,1000,10.060128,14,28,4,50,0.14278820447934193,0.075223231167323795,0.99367212787219761,0.99618054161766989,2018-05-26 14:18:50.622757,2018-05-26 14:37:32.025680
Random_Itemset_different_privacy_003_5e5_true_5,500000,1000,10.060128,15,30,4,50,0.10745476396258979,0.099899726334745864,0.99419501558348367,0.99653364012980938,2018-05-26 14:18:50.622757,2018-05-26 14:38:55.907903
