Dataset,User Number,Itemset Size,Dummy Item Proportion,k,Candidate Set Size,Privacy_Parameter,User Itemset Size,RE1,RE2,NDCG1,NDCG2,Start Time,Finishe Time
Random_Itemset_different_privacy_003_5e5_true_5,500000,1000,10.060128,1,2,4,50,0.1466682909002314,0.57333414545011574,0.992,0.992,2018-05-26 14:18:50.622757,2018-05-26 14:19:18.481556
Random_Itemset_different_privacy_003_5e5_true_5,500000,1000,10.060128,1,2,4,50,0.030423924960409306,0.48478803751979532,0.996,0.996,2018-05-26 14:18:50.622757,2018-05-26 14:19:25.917090
Random_Itemset_different_privacy_003_5e5_true_5,500000,1000,10.060128,1,2,4,50,0.12285296625654783,0.43857351687172608,0.998,0.998,2018-05-26 14:18:50.622757,2018-05-26 14:19:33.110133
Random_Itemset_different_privacy_003_5e5_true_5,500000,1000,10.060128,1,2,4,50,0.17788402972347414,0.58894201486173703,0.984,0.984,2018-05-26 14:18:50.622757,2018-05-26 14:19:40.925389
Random_Itemset_different_privacy_003_5e5_true_5,500000,1000,10.060128,1,2,4,50,0.11995980021927165,0.056818735534169919,1.0,1.0,2018-05-26 14:18:50.622757,2018-05-26 14:19:48.417467
Random_Itemset_different_privacy_003_5e5_true_5,500000,1000,10.060128,1,2,4,50,0.17401632354732618,0.082175051772444815,1.0,1.0,2018-05-26 14:18:50.622757,2018-05-26 14:19:55.660988
Random_Itemset_different_privacy_003_5e5_true_5,500000,1000,10.060128,1,2,4,50,0.15041417955902073,0.42479291022048965,0.998,0.998,2018-05-26 14:18:50.622757,2018-05-26 14:20:02.844281
Random_Itemset_different_privacy_003_5e5_true_5,500000,1000,10.060128,1,2,4,50,0.023175782677549051,0.009888536971616518,0.999,0.999,2018-05-26 14:18:50.622757,2018-05-26 14:20:10.192563
Random_Itemset_different_privacy_003_5e5_true_5,500000,1000,10.060128,1,2,4,50,0.0471738335972713,0.47641308320136433,0.996,0.996,2018-05-26 14:18:50.622757,2018-05-26 14:20:17.489925
Random_Itemset_different_privacy_003_5e5_true_5,500000,1000,10.060128,1,2,4,50,0.13555244244122303,0.56777622122061155,0.987,0.987,2018-05-26 14:18:50.622757,2018-05-26 14:20:25.013313
Random_Itemset_different_privacy_003_5e5_true_5,500000,1000,10.060128,2,4,4,50,0.18599850526412956,0.41208465494314905,0.998,0.998,2018-05-26 14:18:50.622757,2018-05-26 14:20:32.854900
Random_Itemset_different_privacy_003_5e5_true_5,500000,1000,10.060128,2,4,4,50,0.10004658460917788,0.39685657245269651,0.9945,0.9955,2018-05-26 14:18:50.622757,2018-05-26 14:20:40.677987
Random_Itemset_different_privacy_003_5e5_true_5,500000,1000,10.060128,2,4,4,50,0.21229404087880746,0.43176631070780441,0.986,0.986,2018-05-26 14:18:50.622757,2018-05-26 14:20:48.015890
Random_Itemset_different_privacy_003_5e5_true_5,500000,1000,10.060128,2,4,4,50,0.21805880032711611,0.056771726347464233,0.999,0.999,2018-05-26 14:18:50.622757,2018-05-26 14:20:55.141727
