Actual Item ID,Actual Item Number,Estimated Item ID,Estimated Item Number,Actual Frequency,Estimated Freqency,Estimated Top k frequency,RE,REL,DCG,IDCG,Type,Start Time,Candidate Set,Fall In Candidate Percent
Privacy_Parameter:,0.5,Number:,0
316,882272,128,1566228,0.882272,0.671207,1.566228,0.23922894526857927,362,362,400,part1,2018-06-04 11:58:59.135000,[128],None
65,876455,21,1354587,0.876455,0.918427,1.354587,0.04788836848440594,387,749.0,800.0,part1,2018-06-04 11:58:59.135000,"[128, 21]",None
130,860398,10,1311488,0.860398,1.101351,1.311488,0.28004830322711116,396,998.8481824142971,1052.371901428583,part1,2018-06-04 11:58:59.135000,"[128, 10, 21]",None
213,850743,329,1300913,0.850743,1.011393,1.300913,0.1888349360500174,392,1194.848182414297,1252.371901428583,part1,2018-06-04 11:58:59.135000,"[128, 329, 10, 21]",None
128,802208,317,1126308,0.802208,1.566228,1.1263079999999999,0.9523963859747097,396,1365.3960994113606,1424.6425246579402,part1,2018-06-04 11:58:59.135000,"[128, 329, 10, 21, 317]",None
155,801779,287,1118741,0.801779,0.41877,1.118741,0.47769896692230657,310,1485.3204696540686,1579.383647551757,part1,2018-06-04 11:58:59.135000,"[128, 329, 10, 21, 317, 287]",None
285,763340,130,1101351,0.76334,0.7770509999999999,1.101351,0.017961851861555685,379,1620.322993568009,1721.8665223949658,part1,2018-06-04 11:58:59.135000,"[128, 130, 329, 10, 21, 317, 287]",None
253,750070,166,1040862,0.75007,0.16779,1.040862,0.7763008785846655,230,1696.9896602346757,1855.199855728299,part1,2018-06-04 11:58:59.135000,"[128, 130, 166, 329, 10, 21, 317, 287]",None
307,744477,39,1031791,0.744477,0.559347,1.0317910000000001,0.2486712148259785,347,1806.4559724793237,1981.3858064425906,part1,2018-06-04 11:58:59.135000,"[128, 130, 166, 39, 329, 10, 21, 317, 287]",None
189,740922,279,1028031,0.740922,1.0159049999999998,1.028031,0.3711362329637936,399,1926.5669407492521,2101.797804708183,part1,2018-06-04 11:58:59.135000,"[128, 130, 166, 39, 329, 10, 21, 279, 317, 287]",None
