Dataset,User Number,Itemset Size,Dummy Item Proportion,k,Candidate Set Size,Privacy_Parameter,User Itemset Size,RE1,RE2,NDCG1,NDCG2,Start Time,Finishe Time
Random_Itemset_different_privacy_050_1e5_true_2,100000,1000,10.06026,30,90,1,50,0.74529918412276763,0.98606614665665515,0.94866429195192636,0.93022166905394599,2018-05-23 18:25:18.288000,2018-05-23 18:25:45.176000
Random_Itemset_different_privacy_050_1e5_true_2,100000,1000,10.06026,30,90,2,50,0.45626547669829093,0.98103991391336864,0.96733591320733026,0.96274580690525347,2018-05-23 18:25:18.288000,2018-05-23 18:26:09.990000
Random_Itemset_different_privacy_050_1e5_true_2,100000,1000,10.06026,30,90,3,50,0.30874859314433117,0.4560037534986483,0.98961159814493249,0.98445925244224031,2018-05-23 18:25:18.288000,2018-05-23 18:26:33.904000
Random_Itemset_different_privacy_050_1e5_true_2,100000,1000,10.06026,30,90,4,50,0.28085019212903051,0.37596238617592104,0.9932967815631677,0.99147338357497594,2018-05-23 18:25:18.288000,2018-05-23 18:26:58.658000
Random_Itemset_different_privacy_050_1e5_true_2,100000,1000,10.06026,30,90,5,50,0.23444171440057932,0.27097659566930765,0.99404131664487916,0.99538322315145789,2018-05-23 18:25:18.288000,2018-05-23 18:27:22.619000
Random_Itemset_different_privacy_050_1e5_true_2,100000,1000,10.06026,30,90,6,50,0.216156450565021,0.24302692140189155,0.99429144988898011,0.99311296039167074,2018-05-23 18:25:18.288000,2018-05-23 18:27:46.794000
Random_Itemset_different_privacy_050_1e5_true_2,100000,1000,10.06026,30,90,7,50,0.23312996810381531,0.2343572264183281,0.99642125276807147,0.99725154874712962,2018-05-23 18:25:18.288000,2018-05-23 18:28:11.173000
Random_Itemset_different_privacy_050_1e5_true_2,100000,1000,10.06026,30,90,8,50,0.20542273366153935,0.23338256820429476,0.99648213818597375,0.99610823021846573,2018-05-23 18:25:18.288000,2018-05-23 18:28:35.301000
Random_Itemset_different_privacy_050_1e5_true_2,100000,1000,10.06026,30,90,9,50,0.22845732637261112,0.22286236418134159,0.99657584388416198,0.99665895043320951,2018-05-23 18:25:18.288000,2018-05-23 18:28:59.914000
Random_Itemset_different_privacy_050_1e5_true_2,100000,1000,10.06026,30,90,10,50,0.21564911231467895,0.20911627790535525,0.99683996347496728,0.99604748798251186,2018-05-23 18:25:18.288000,2018-05-23 18:29:25.745000
