Dataset,User Number,Itemset Size,Dummy Item Proportion,k,Candidate Set Size,Privacy_Parameter,User Itemset Size,RE1,RE2,NDCG1,NDCG2,Start Time,Finishe Time
Random_Itemset_different_privacy_050_1e5_true_2,100000,1000,10.06026,30,90,1,50,0.8655261214115032,0.99872840690978881,0.9355016076674887,0.927822450495621,2018-05-23 18:25:18.288000,2018-05-23 18:25:25.017000
Random_Itemset_different_privacy_050_1e5_true_2,100000,1000,10.06026,30,90,1,50,0.76032064870758687,0.98371989685621497,0.9460256179354434,0.9163338788437015,2018-05-23 18:25:18.288000,2018-05-23 18:25:26.942000
Random_Itemset_different_privacy_050_1e5_true_2,100000,1000,10.06026,30,90,1,50,0.68773838781568508,0.98924622873794776,0.9488408659635338,0.884137889094065,2018-05-23 18:25:18.288000,2018-05-23 18:25:29.138000
Random_Itemset_different_privacy_050_1e5_true_2,100000,1000,10.06026,30,90,1,50,0.97972251202873761,0.98413362897138534,0.9513019487073661,0.9323814554320293,2018-05-23 18:25:18.288000,2018-05-23 18:25:31.039000
Random_Itemset_different_privacy_050_1e5_true_2,100000,1000,10.06026,30,90,1,50,0.67997833710627786,0.99143593615185499,0.9524695112575775,0.9516405315330864,2018-05-23 18:25:18.288000,2018-05-23 18:25:33.136000
Random_Itemset_different_privacy_050_1e5_true_2,100000,1000,10.06026,30,90,1,50,0.47562951882323612,0.98085281436071925,0.964598815563445,0.954807372000354,2018-05-23 18:25:18.288000,2018-05-23 18:25:35.440000
Random_Itemset_different_privacy_050_1e5_true_2,100000,1000,10.06026,30,90,1,50,0.72513186903337423,0.98577710905216187,0.9450150920518173,0.9434588716407258,2018-05-23 18:25:18.288000,2018-05-23 18:25:38.047000
Random_Itemset_different_privacy_050_1e5_true_2,100000,1000,10.06026,30,90,1,50,0.8469710764254692,0.97262162955453424,0.9585904794129334,0.954894181036676,2018-05-23 18:25:18.288000,2018-05-23 18:25:40.314000
Random_Itemset_different_privacy_050_1e5_true_2,100000,1000,10.06026,30,90,1,50,0.70819876727400921,0.98605199627350337,0.9391255555554372,0.949173275183077,2018-05-23 18:25:18.288000,2018-05-23 18:25:42.932000
Random_Itemset_different_privacy_050_1e5_true_2,100000,1000,10.06026,30,90,1,50,0.72377460260179738,0.98809381969844245,0.945173425404223,0.8875667852801258,2018-05-23 18:25:18.288000,2018-05-23 18:25:45.176000
Random_Itemset_different_privacy_050_1e5_true_2,100000,1000,10.06026,30,90,2,50,0.6221911468409681,0.98694690552338149,0.9545056408744472,0.9487734060812166,2018-05-23 18:25:18.288000,2018-05-23 18:25:47.735000
Random_Itemset_different_privacy_050_1e5_true_2,100000,1000,10.06026,30,90,2,50,0.52396432052006159,0.98863993239517645,0.9604292973584063,0.949220716125832,2018-05-23 18:25:18.288000,2018-05-23 18:25:49.965000
Random_Itemset_different_privacy_050_1e5_true_2,100000,1000,10.06026,30,90,2,50,0.42191681136807846,0.98661091882019281,0.9278446245863893,0.9417424153212539,2018-05-23 18:25:18.288000,2018-05-23 18:25:52.775000
Random_Itemset_different_privacy_050_1e5_true_2,100000,1000,10.06026,30,90,2,50,0.43908757482926286,0.98352732318102554,0.9761209883465713,0.9812862646596036,2018-05-23 18:25:18.288000,2018-05-23 18:25:55.151000
Random_Itemset_different_privacy_050_1e5_true_2,100000,1000,10.06026,30,90,2,50,0.45270291715912048,0.98627201899400396,0.9719894095324346,0.9764419019604527,2018-05-23 18:25:18.288000,2018-05-23 18:25:57.535000
Random_Itemset_different_privacy_050_1e5_true_2,100000,1000,10.06026,30,90,2,50,0.44390831368437866,0.98387819707721436,0.9645044557225428,0.948341296734072,2018-05-23 18:25:18.288000,2018-05-23 18:26:00.252000
Random_Itemset_different_privacy_050_1e5_true_2,100000,1000,10.06026,30,90,2,50,0.34575965063348496,0.98576637431606051,0.9782131001844773,0.9749581826359321,2018-05-23 18:25:18.288000,2018-05-23 18:26:02.515000
Random_Itemset_different_privacy_050_1e5_true_2,100000,1000,10.06026,30,90,2,50,0.43581162931556633,0.94451108832818431,0.9779922072780808,0.963270652810005,2018-05-23 18:25:18.288000,2018-05-23 18:26:05.117000
Random_Itemset_different_privacy_050_1e5_true_2,100000,1000,10.06026,30,90,2,50,0.48725258395734472,0.98192700542098388,0.9822848196107558,0.9600399937927375,2018-05-23 18:25:18.288000,2018-05-23 18:26:07.370000
Random_Itemset_different_privacy_050_1e5_true_2,100000,1000,10.06026,30,90,2,50,0.39005981867464246,0.98231937507746214,0.9794745885791974,0.9833832389314316,2018-05-23 18:25:18.288000,2018-05-23 18:26:09.990000
Random_Itemset_different_privacy_050_1e5_true_2,100000,1000,10.06026,30,90,3,50,0.21946985238342259,0.370883064575531,0.9923222953865479,0.9950961620950722,2018-05-23 18:25:18.288000,2018-05-23 18:26:12.229000
Random_Itemset_different_privacy_050_1e5_true_2,100000,1000,10.06026,30,90,3,50,0.37459480616799767,0.63509804854453611,0.9822591763101342,0.9846354336717114,2018-05-23 18:25:18.288000,2018-05-23 18:26:14.807000
Random_Itemset_different_privacy_050_1e5_true_2,100000,1000,10.06026,30,90,3,50,0.34704265370971266,0.38882474433865161,0.9953802101943187,0.996380160950991,2018-05-23 18:25:18.288000,2018-05-23 18:26:17.064000
Random_Itemset_different_privacy_050_1e5_true_2,100000,1000,10.06026,30,90,3,50,0.36403824918023697,0.52157693842470376,0.9837791631554867,0.9863545915836066,2018-05-23 18:25:18.288000,2018-05-23 18:26:19.580000
Random_Itemset_different_privacy_050_1e5_true_2,100000,1000,10.06026,30,90,3,50,0.27221168139378549,0.38967673076289688,0.9880795425223682,0.9904546430833563,2018-05-23 18:25:18.288000,2018-05-23 18:26:21.800000
Random_Itemset_different_privacy_050_1e5_true_2,100000,1000,10.06026,30,90,3,50,0.27170457099016943,0.35770940934776729,0.9914213587319334,0.9933046226983997,2018-05-23 18:25:18.288000,2018-05-23 18:26:24.241000
Random_Itemset_different_privacy_050_1e5_true_2,100000,1000,10.06026,30,90,3,50,0.32807364818966767,0.73461743634971999,0.986467566170668,0.9807705882233158,2018-05-23 18:25:18.288000,2018-05-23 18:26:26.743000
Random_Itemset_different_privacy_050_1e5_true_2,100000,1000,10.06026,30,90,3,50,0.32765062956305213,0.35759164041821045,0.9915685726987061,0.93662456679045,2018-05-23 18:25:18.288000,2018-05-23 18:26:29.045000
