Dataset,User Number,Itemset Size,Dummy Item Proportion,k,Candidate Set Size,Privacy_Parameter,User Itemset Size,RE1,RE2,NDCG1,NDCG2,Start Time,Finishe Time
Random_Itemset_different_privacy_050_1e5_true_2,100000,1000,10.06026,10,20,1,50,0.6679055900468549,0.99335811180093714,0.9215019724152813,0.9246879581670552,2018-05-23 15:17:38.186000,2018-05-23 15:17:44.519000
Random_Itemset_different_privacy_050_1e5_true_2,100000,1000,10.06026,10,20,1,50,0.79229254905034963,0.98977411120435321,0.9396359645226674,0.9412387107000877,2018-05-23 15:17:38.186000,2018-05-23 15:17:46.670000
Random_Itemset_different_privacy_050_1e5_true_2,100000,1000,10.06026,10,20,1,50,0.53586961296841373,0.97979437448088547,0.9505021257700716,0.9522262576769831,2018-05-23 15:17:38.186000,2018-05-23 15:17:48.411000
Random_Itemset_different_privacy_050_1e5_true_2,100000,1000,10.06026,10,20,1,50,0.50247839088935309,0.98677195606794477,0.9515683903099763,0.9530052535460732,2018-05-23 15:17:38.186000,2018-05-23 15:17:50.120000
Random_Itemset_different_privacy_050_1e5_true_2,100000,1000,10.06026,10,20,1,50,0.48160863651255092,0.97769787988694867,0.9786625163302051,0.8471991574314715,2018-05-23 15:17:38.186000,2018-05-23 15:17:51.618000
Random_Itemset_different_privacy_050_1e5_true_2,100000,1000,10.06026,10,20,1,50,0.276449378530921,0.98277646347957881,0.9817259179207452,0.98286577288296,2018-05-23 15:17:38.186000,2018-05-23 15:17:53.482000
Random_Itemset_different_privacy_050_1e5_true_2,100000,1000,10.06026,10,20,1,50,0.78150175752191653,0.9872020779180829,0.9503349441380422,0.9515890481689825,2018-05-23 15:17:38.186000,2018-05-23 15:17:55.048000
Random_Itemset_different_privacy_050_1e5_true_2,100000,1000,10.06026,10,20,1,50,0.49756410343400337,0.97191105544934664,0.9771068155500943,0.9785205393804418,2018-05-23 15:17:38.186000,2018-05-23 15:17:56.569000
Random_Itemset_different_privacy_050_1e5_true_2,100000,1000,10.06026,10,20,1,50,0.34723287207980902,0.9787253859360121,0.9785653688295037,0.9801491489638541,2018-05-23 15:17:38.186000,2018-05-23 15:17:58.381000
Random_Itemset_different_privacy_050_1e5_true_2,100000,1000,10.06026,10,20,1,50,0.87337675402361292,0.9756755049745558,0.9681502799583829,0.9688328827234012,2018-05-23 15:17:38.186000,2018-05-23 15:17:59.906000
Random_Itemset_different_privacy_050_1e5_true_2,100000,1000,10.06026,10,20,2,50,0.30603777022976358,0.98379523843094652,0.9824148214546102,0.9831803839842382,2018-05-23 15:17:38.186000,2018-05-23 15:18:01.418000
Random_Itemset_different_privacy_050_1e5_true_2,100000,1000,10.06026,10,20,2,50,0.30466815819921289,0.98310111865204919,0.9840092965253249,0.9847089819532281,2018-05-23 15:17:38.186000,2018-05-23 15:18:03.201000
Random_Itemset_different_privacy_050_1e5_true_2,100000,1000,10.06026,10,20,2,50,0.23270368857761076,0.98244036131160151,0.9864056725908317,0.9208918195230483,2018-05-23 15:17:38.186000,2018-05-23 15:18:04.743000
Random_Itemset_different_privacy_050_1e5_true_2,100000,1000,10.06026,10,20,2,50,0.30892208960733347,0.98317152103559879,0.9683749630165756,0.9689738901230311,2018-05-23 15:17:38.186000,2018-05-23 15:18:06.410000
Random_Itemset_different_privacy_050_1e5_true_2,100000,1000,10.06026,10,20,2,50,0.17162406848139661,0.98040136650193577,0.9789279817024611,0.9799470335207843,2018-05-23 15:17:38.186000,2018-05-23 15:18:08.087000
Random_Itemset_different_privacy_050_1e5_true_2,100000,1000,10.06026,10,20,2,50,0.24859257979729549,0.97719254541604161,0.9873265165692099,0.9878105349580489,2018-05-23 15:17:38.186000,2018-05-23 15:18:09.570000
Random_Itemset_different_privacy_050_1e5_true_2,100000,1000,10.06026,10,20,2,50,0.44642015894473797,0.5021126970592239,0.991916786687325,0.9923755317404929,2018-05-23 15:17:38.186000,2018-05-23 15:18:11.415000
